car_park_no,address,x_coord,y_coord,night_parking
L0058,LIM TUA TOW ROAD OFF STREET,32881.8908,37327.4993,YES
L0060,LORONG BAKAR BATU ,32474.1663,34367.3485,YES
L0061,LIM TUA TOW ROAD ,32794.3601,37397.5906,YES
L0064,LORONG 21 GEYLANG OFF STREET,33177.6203,32903.5269,YES
L0065,LORONG PENDEK ,32614.0932,34615.8065,YES
L0074,LORONG 21A GEYLANG ,33254.6661,33035.7093,YES
L0076,LORONG MELAYU ,36604.9907,33526.6785,YES
L0077,LENG KEE ROAD ,25656.8835,30349.2124,YES
L0078,LORONG MYDIN OFF STREET,36742.91,33491.4403,YES
L0079,LORONG MARZUKI ,36480.0187,33494.0567,YES
L0081,LORONG AMPAS ,30187.785,34265.1037,YES
L0082,LORONG SARINA ,36292.9658,33460.9333,YES
L0083,LORONG MARICAN ,36420.7759,33490.2769,YES
L0085,LOYANG WAY ,43707.7605,40515.9907,YES
L0087,LOYANG CRESCENT ,43387.0213,40582.6685,YES
L0088,LOYANG DRIVE ,42877.415,39218.7048,YES
L0089,LOYANG LANE ,42899.5023,39582.7804,YES
L0092,LITTLE ROAD ,33770.4816,35606.2111,YES
L0096,LORONG 101 CHANGI ,35393.2609,33097.3771,YES
L0097,LORONG 102 CHANGI ,35520.1683,33131.1008,YES
L0098,LORONG 104 CHANGI ,35646.742,33206.96,YES
L0099,LORONG 105 CHANGI ,35734.9299,33115.5986,YES
L0100,LORONG 106 CHANGI ,35788.6768,33209.9575,YES
L0101,LORONG 107 CHANGI ,35861.37,33197.9871,YES
L0102,LORONG 108 CHANGI ,35930.0467,33211.0998,YES
L0103,LANGSAT ROAD ,35506.7284,33031.3686,YES
L0104,LORONG BEKUKONG OFF STREET,45138.4696,41348.5891,YES
L0107,LORONG BACHOK OFF STREET,33133.035,32891.2922,YES
L0109,LOYANG WAY 1 ,43438.9937,39659.2347,YES
L0110,LOYANG STREET ,43091.2527,39603.7955,YES
L0113,LORONG 3 GEYLANG ,32573.1441,32664.8974,YES
L0115,LORONG 1 GEYLANG ROAD OFF STREET,32312.641,32543.1227,YES
L0116,LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,33252.6146,32807.3321,YES
L0117,LORONG 25/25A GEYLANG OFF STREET,33510.0475,33077.0824,YES
L0118,LORONG 36 GEYLANG OFF STREET,34145.8285,32836.5502,YES
L0120,LORONG MYDIN ,36711.8085,33542.5971,YES
L0123,LORONG 9/11 GEYLANG OFF STREET,32801.8875,32837.3147,YES
L0124,LORONG 37 GEYLANG OFF STREET,34245.0343,33041.7438,YES
L0125,LORONG 31 GEYLANG OFF STREET,33990.0091,33036.8481,YES
M0001,MACKENZIE ROAD ,29567.5951,32069.7674,YES
M0003,MARNE ROAD  ,30643.5356,32789.564,YES
M0005,MAYO STREET ,30268.1856,31831.8776,YES
M0006,MCCALLUM STREET ,29568.1135,29119.7542,YES
M0009,MISTRI ROAD ,29408.8574,28483.137,YES
M0011,MOSQUE STREET ,29270.8883,29585.1284,YES
M0015,MOHAMED SULTAN ROAD ,28850.8558,30531.1768,YES
M0017,MIDDLE ROAD OFF STREET ,29925.7998,31557.543,YES
M0020,MAUDE ROAD ,30781.0982,32260.9164,YES
M0026,MANILA STREET ,30295.8721,31277.05,YES
M0038,MAJU AVENUE ,31596.3223,38563.2687,YES
M0039,MAJU AVENUE SERVICE ROAD,31585.3854,38593.6329,YES
M0040,MACKENZIE ROAD A OFF STREET,29807.0475,31944.2444,YES
M0043,MOUNT EMILY ROAD ,29792.604,31838.4762,YES
M0048,MARTABAN ROAD ,29974.494,33998.6134,YES
M0049,MINBU ROAD ,29854.7356,33967.9136,YES
M0055,MOONSTONE LANE ,31692.9374,34368.4154,YES
M0058,MACPHERSON ROAD ,33569.6436,34937.4696,YES
M0059,MACKENZIE ROAD B OFF STREET,29585.4645,32020.1872,YES
M0063,MAYNE ROAD ,29728.7582,32014.9078,YES
M0066,MACTAGGART ROAD ,33685.2719,35189.7763,YES
M0072,MANDALAY ROAD ,29887.4114,34078.1939,YES
M0074,MAKEWAY AVENUE ,28956.2088,32734.1073,YES
M0076,MINBU ROAD OFF STREET ,29734.9916,34159.4165,YES
M0077,MOHD SULTAN ROAD/RIVER VALLEY ROAD OFF STREET,28921.5077,30728.1959,YES
M0078,MARITIME SQUARE D OFF STREET,26559.0302,27674.9872,YES
M0080,MARSHALL ROAD ,35643.1941,31991.8806,YES
M0084,MARINA VIEW OFF STREET ,29797.8344,28569.8125,YES
M0085,MARTIN PLACE/ MUTHURAMAN CHETTY ROAD,28551.9326,30610.697,YES
M0088,MARGARET DRIVE OFF STREET,24627.6398,31419.3749,YES
N0003,NORTH BRIDGE ROAD (ARAB/JALAN SULTAN),30917.3253,31750.0548,YES
N0005,NEW INDUSTRIAL ROAD ,33821.8612,36142.707,YES
N0006,NEIL ROAD OFF STREET ,28956.4609,29088.2522,YES
N0010,NIVEN ROAD ,29811.4017,31761.8979,YES
N0011,NORRIS ROAD ,30270.9262,32257.4542,YES
N0012,NORTH BRIDGE ROAD MARKET OFF STREET,31365.1236,32045.5134,YES
N0013,NORTH BRIDGE ROAD OFF  STREET,30596.2021,31417.195,YES
N0014,NORTH CANAL ROAD ,29692.4555,29845.6277,YES
N0016,NEYTHAL ROAD ,13505.4439,34147.8155,YES
N0020,NEW MARKET ROAD ,29270.9727,29957.3796,YES
N0023,NETHERAVON ROAD ,44898.0996,41468.8832,YES
N0047,NEIL ROAD ,28979.4855,29085.4709,YES
O0004,OLD UPPER THOMSON ROAD ,27353.6547,39915.9542,YES
O0005,OLD UPPER THOMSON ROAD OFF STREET,27408.6074,39942.9511,YES
O0007,OWEN ROAD/ DORSET ROAD / CAMBRIDGE ROAD,29960.6035,33140.4175,YES
O0008,OLD AIRPORT ROAD ,33701.6917,32176.258,YES
O0010,OUTRAM ROAD ,28161.6974,29762.4345,YES
