car_park_no,address,x_coord,y_coord,night_parking
BE25,BLK 207A BISHAN STREET 23,29668.2541,37471.6058,YES
BE26,BLK 207/212/216/217 BISHAN STREET 23,29684.6992,37553.5273,NO
BE27,BLK 212A BISHAN STREET 23,29704.1126,37637.6725,YES
BE28,"BLK 213-215,218-227 BISHAN STREET 23",29639.4805,37778.0547,NO
BE29,BLK 228-231 BISHAN STREET 23,29400.2617,37725.7422,NO
BE3,BLK 401-408 SIN MING AVE,28121.0801,38268.7852,NO
BE3R,BLK 410A SIN MING AVE,28240.0745,38359.6695,YES
BE30,BLK 231A BISHAN STREET 23,29460.8559,37726.9889,YES
BE31,BLK 232-237 BISHAN STREET 22,29421.8945,37882.1133,NO
BE32,BLK 237A BISHAN STREET 22,29486.1335,37915.7452,YES
BE33,BLK 238-245 BISHAN STREET 22,29279.9809,38026.2842,NO
BE34,BLK 246A BISHAN STREET 22,29146.6066,38113.6749,YES
BE35,BLK 246-256 BISHAN STREET 22,29086.8281,38164.5,NO
BE36,BLK 278-281 BISHAN STREET 24,29248.3008,37730.4375,YES
BE37,BLK 282 BISHAN STREET 22,29235.553,37787.1371,YES
BE38,BLK 283/284 BISHAN STREET 22,29251.7617,37885.625,YES
BE39,BLK 263A BISHAN STREET 22,28962.9515,37918.5499,NO
BE4,BLK 101-116 BISHAN STREET 12,29675.9231,36514.1566,YES
BE40,BLK 268A BISHAN STREET 24,29037.3835,37710.0917,YES
BE42,BLK 290A BISHAN STREET 24,29249.7223,37516.6532,YES
BE44,BLK 448A BRIGHT HILL DRIVE,27812.0967,37767.5494,YES
BE45,BLK 275 BISHAN ST 24,29152.4171,37599.2039,NO
BE5,BLK 117-134 BISHAN STREET 12,29963.414,36478.9779,YES
BE6,BLK 135/138 BISHAN STREET 12,30066.0547,36320.9492,YES
BE7,BLK 139-144 BISHAN STREET 12,30192.8737,36349.311,NO
BE8,"BLK 145-150A, 151 BISHAN STREET 11",30447.9395,36286.4727,YES
BE9,BLK 153-167 BISHAN STREET 13,30544.5318,36588.7709,YES
BH1,BLK 1 THOMSON ROAD,29017.3398,34136.332,YES
BH2,BLK 2 BALESTIER ROAD,29050.8796,34252.9453,YES
BJAL,BLK 517 - 519 JELAPANG ROAD,20505.161,41097.6794,YES
BJBL,BLK 533 - 534 BUKIT PANJANG RING ROAD,20272.3997,40658.5045,YES
BJMP,BLK 259B BANGKIT ROAD,21344.6326,39972.0102,YES
BJ1,BLK 130-140 CASHEW ROAD,20878.08,39550.76,NO
BJ10,BLK 234-241 BUKIT PANJANG RING ROAD,21026.3461,40101.7077,NO
BJ11,BLK 242-245 BUKIT PANJANG RING ROAD,21162.6537,40303.4372,NO
BJ12,BLK 246-255 BANGKIT ROAD,21452.9618,40246.9897,NO
BJ13,BLK 270-277 BANGKIT ROAD,21485.25,39887.66,YES
BJ14,BLK 257 BANGKIT ROAD,21346.1751,40106.9685,YES
BJ15,BLK 259A BANGKIT ROAD,21374.3071,39941.9395,NO
BJ16,BLK 259A BANGKIT ROAD,21356.3257,39943.2707,YES
BJ17,BLK 401A FAJAR ROAD,20836.1138,40357.2456,YES
BJ18,BLK 401-408 FAJAR ROAD,20743.2768,40326.2581,YES
BJ19,BLK 409-419 FAJAR ROAD,20773.5976,40665.0357,YES
BJ2,BLK 141-151 GANGSA/PETIR ROAD,20581.8743,39791.6392,YES
BJ20,BLK 420-426 FAJAR ROAD,20929.1589,40888.8561,NO
BJ21,BLK 427-435 BUKIT PANJANG RING ROAD,21028.24,40876.34,YES
BJ22,BLK 256/257/260 BANGKIT ROAD,21343.2842,40030.3147,NO
BJ23,BLK 258 BUKIT PANJANG RING ROAD,21281.85,39957.43,NO
BJ24,BLK 436-441 FAJAR ROAD,21005.5592,40580.2986,YES
BJ25,BLK 453A FAJAR ROAD,21145.4428,40760.7142,YES
BJ26,BLK 449A BUKIT PANJANG RING ROAD,21253.8552,40640.1785,YES
BJ27,BLK 442A FAJAR ROAD,21059.217,40510.9727,YES
BJ28,BLK 170A LOMPANG ROAD,20457.7599,40100.1252,YES
BJ29,BLK 505A JELAPANG ROAD,20695.6095,40765.0345,YES
BJ3,BLK 101/129 GANGSA ROAD/PENDING ROAD,20884.1354,39921.5746,YES
BJ30,BLK 510A JELAPANG ROAD,20839.8705,40996.2639,YES
BJ31,BLK 513A JELAPANG ROAD,20672.7922,41096.8488,NO
BJ32,BLK 518A JELAPANG ROAD,20612.4337,40944.82,YES
BJ33,BLK 234A BUKIT PANJANG RING ROAD,21177.2481,40121.6311,YES
BJ34,BLK 517A JELAPANG ROAD,20565.9376,41081.058,YES
BJ35,BLK 521A JELAPANG ROAD,20498.7021,40997.6232,YES
BJ36,BLK 525A JELAPANG ROAD,20434.7146,40912.3617,YES
BJ37,BLK 529A JELAPANG ROAD,20361.9478,40819.6691,YES
BJ38,BLK 533A BUKIT PANJANG RING ROAD,20221.922,40787.0081,YES
BJ39,BLK 537A BUKIT PANJANG RING ROAD,20158.8662,40686.9514,YES
BJ4,BLK 219/233 PETIR ROAD,21204.7046,39724.8735,YES
BJ40,BLK 541A BUKIT PANJANG RING ROAD,20163.4889,40531.4817,YES
BJ41,BLK 152A GANGSA ROAD,20447.5641,39722.7569,YES
BJ42,BLK 163A GANGSA ROAD,20317.5802,39878.586,YES
BJ43,BLK 603A SENJA ROAD,20027.2654,40409.2626,YES
BJ44,BLK 177A LOMPANG ROAD,20395.5322,40290.7701,YES
BJ45,BLK 180A LOMPANG ROAD,20397.9729,40073.9347,YES
BJ48,BLK 651A SENJA LINK,20352.8446,41013.5834,YES
BJ49,BLK 611A/613A/615A/616A BUKIT PANJANG RING ROAD/SENJA ROAD,20006.0358,40760.5616,YES
BJ5,BLK 225A PETIR ROAD MSCP,21295.8798,39665.1802,YES
BJ50,BLK 468A SEGAR ROAD,21363.991,41123.9328,YES
BJ51,BLK 181A JELEBU ROAD,20226.0907,40152.4974,YES
BJ52,BLK 185A JELEBU ROAD,20134.1254,40120.981,YES
BJ53,BLK 480A SEGAR ROAD,21168.4806,41302.9377,YES
BJ54,BLK 476A SEGAR ROAD,21342.9805,41219.4493,YES
BJ55,BLK 625A SENJA ROAD,19927.0486,40913.764,YES
BJ56,BLK 629A SENJA ROAD,19723.7125,40870.4549,YES
BJ57,BLK 628 SENJA RD,19859.549,40799.6812,YES
BJ58,BLK 455A SEGAR ROAD,21095.0855,41051.008,YES
BJ59,BLK 488A SEGAR ROAD,21094.1509,41309.8258,YES
BJ6,BLK 217A PETIR ROAD MSCP,21443.7871,39574.4888,YES
BJ60,BLK 547 SEGAR ROAD,20897.8022,41135.8221,YES
BJ61,BLK 548 SEGAR ROAD,20712.1138,41213.883,YES
BJ62,BLK 454 FAJAR ROAD,21108.8428,40690.9971,YES
BJ63,BLK 443 FAJAR ROAD,20985.8418,40364.4597,YES
BJ65,BLK 632 SENJA ROAD,19702.7354,40739.1965,YES
BJ66,BLK 634 SENJA ROAD,19584.9139,40909.9744,YES
BJ67,BLK 636 SENJA ROAD,19616.1105,41031.7585,YES
BJ68,BLK 422A FAJAR ROAD,20950.1385,40814.0823,YES
BJ8,BLK 201/218 PETIR ROAD,21353.5943,39632.9105,YES
BKE1,BLK 668 CHANDER ROAD,30034.1445,32237.498,YES
BKE2,BLK 681/682 RACE COURSE ROAD,30466.3496,32935.1367,YES
BKE3,BLK 682/683 RACE COURSE ROAD,30502.0605,32966.8867,YES
BKE4,BLK 684/685 RACE COURSE ROAD,30617.8164,32970.7734,NO
BKE7,BLK 678 PERUMAL ROAD,30448.766,32767.6002,YES
BKE9,BLK 668 CHANDER ROAD,30019.3942,32184.232,YES
BKRM,BLK 6A BOON KENG ROAD,31121.6383,33283.2558,YES
BLM,BLK 10 BENDEMEER ROAD,31076.0824,33087.5529,YES
BL10,BLK 188/191 BOON LAY DRIVE,14434.5806,36212.2117,YES
BL13,BLK 198/206 BOON LAY DRIVE,14836.3467,36315.1094,YES
BL15,BLK 257A BOON LAY DRIVE,14004.6897,36456.5691,YES
BL17,BLK 268 BOON LAY DRIVE,14024.5648,36666.6301,YES
BL18,BLK 208A BOON LAY PLACE,14768.3178,36520.4472,YES
BL19,BLK 212A BOON LAY PLACE,14648.3419,36766.7841,YES
BL20,180 BOON LAY DRIVE,14072.9303,36691.7296,YES
BL21,183 BOON LAY AVENUE,14206.3144,36819.8339,YES
BL22,196 BOON LAY DR,14693.2928,36077.4814,YES
