name,car_park_no,address,weekday_before_5,weekday_after_5,sat,sun,postal,x_coord,y_coord
Mount Alvernia Hospital,T0014,"820 Thomson Road, S(574623)","$2.50 for 1st hr, $1.50 for next subsequent 30min from 7am to 10pm ",$5.00/entry from 10pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,574623,28495.8894,35961.65754
Mount Elizabeth Hospital,T0014,"3 Mount Elizabeth, S(228510)","$2.70/30min from 6.30am to 8am, $3.50/30min from 8am to 11am, $3.20/30min from 11am to 6.30pm ",$5.00/entry from 6.30pm to 6.30am the following day ,Charges same as weekdays ,Charges same as weekdays ,228510,28239.82111,31970.90201
Mount Elizabeth Novena Hospital,T0014,38 Irrawaddy Road S(329563),"$3.20 for 1st hr, $1.80 for next subsequent 30min from 7am to 4.59pm ",$3.00/entry from 5pm to 6.59am the following day  ,Charges same as weekdays ,$3.00/entry from 12am to 11.59pm ,329563,29224.07002,33817.70352
"National Cancer Centre, Singapore (NCCS)",T0014,"11 Hospital Drive, S(169610)",$0.036/min from 7am to 6pm ,$0.036/min from 7am to 6pm ,$0.036/min from 7am to 2pm ,Charges same as weekdays ,169610,28353.60993,29076.65816
National Dental Centre,T0014,"5 Second Hospital Avenue, S(168938)",$0.035/min from 7am to 9.59pm ,$2.14/entry from 10pm to 6.59am the following day ,Charges same as weekdays ,"$0.018/min from 7am to 9.59pm, $0.65/entry from 10pm to 6.59am the following day ",168938,28559.55151,29117.7829
National Heart Centre Singapore,T0014,"5 Hospital Drive, S(169609)",$0.036/min from 7am to 9.59pm ,$2.14/entry from 10pm to 6.59am the following day ,"$0.036/min from 7am to 9.59pm, $2.14/entry from 10pm to 6.59am the following day ","$0.018/min from 7am to 9.59pm, $2.14/entry from 10pm to 6.59am the following day ",169609,28311.71441,29004.46659
National Skin Centre,T0014,"1 Mandalay Road, S(308205)","$2.20 for 1st hr, $0.10 for next subsequent 5min from 8am to 5pm  ",Carpark closed  ,Carpark closed  ,Carpark closed  ,308205,29745.96028,33549.35305
National University Hospital (NUH),T0014,"5 Lower Kent Ridge Road, S(119074)",$0.035/min from 12midnight to 12midnight the following day ,$0.035/min from 12midnight to 12midnight the following day  ,Charges same as weekdays ,Charges same as weekdays ,119074,22480.75615,30801.90838
NTFGH - Ng Teng Fong General Hospital,T0014,"1 Jurong East Street 21, S(609606)",$0.03/min from 7am to 7pm ,$0.03/min from 7pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,609606,18044.8064,35302.24261
One Farrer Hotel & Spa,T0014,"1 Farrer Park Station Road, S(217562)","$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 5.59pm ",$3.00/entry from 6pm to 6.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,217562,30303.65899,32771.11619
Outram Community Hospital (SingHealth Tower),T0014,"10 Hospital Boulevard, S(168582)",$0.036/min from 7am to 9.59pm ,$2.14/entry from 10pm to 6.59am the following day ,"$0.036/min from 7am to 9.59pm, $2.14/entry from 10pm to 6.59am the following day ","$0.018/min from 7am to 9.59pm, $2.14/entry from 10pm to 6.59am the following day ",168582,28235.16671,28900.74399
Parkway East Hospital,T0014,"321 Joo Chiat Place, S(427990)","$2.80 for 1st hr, $1.40 for next subsequent 30min from 8am to 5pm ","$2.80 for 1st hr, $1.40 for next subsequent 30min from 8am to 5pm ",Charges same as weekdays ,Charges same as weekdays ,427990,36421.66143,33039.25904
ParkwayHealth Day Surgery and Medical Centre,T0014,"363 Balestier Road, S(329784)","$1.04 for 1st hr, $0.53 for next subsequent 30min from 8am to 4.59pm ",$1.55/entry from 5pm to 7.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,329784,29922.83191,34077.11655
Raffles Hospital,T0014,"585 North Bridge Road, S(188770)","$2.80 for 1st hr, $1.70 for next subsequent 30min from 7am to 5pm ","$2.80 for 1st hr, $1.70 for next subsequent 30min from 5pm to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,188770,30662.65229,31499.3461
Ren Ci Community Hospital,T0014,"71 Irrawaddy Road, S(329562)","$2.50 for 1st hr, $1.20 for next subsequent 30min from 7am to 6pm  ",$2.50/entry from 6pm to 7am the following day ,Charges same as weekdays ,$3.00/entry from 7am to 7am the following day ,329562,29408.72875,33898.96861
Ren Ci Long Term Care,T0014,"10 Buangkok View, S(539747)",$2.40/30min from 7am to 6pm  ,"$2.40/entry from 6pm to 9pm, $0.04/min from 9pm to 7am the following day  ","$0.04/min from 7am to 1pm, $2.40/entry from 1pm to 9pm, $0.04/min from 9pm to 7am the following day  ","$2.10/entry from 7am to 9pm, $0.04/min from 9pm to 7am the following day  ",539747,33774.85625,40395.28089
